Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/Bellman Errors Max,trainer/Bellman Errors Mean,trainer/Bellman Errors Min,trainer/Bellman Errors Std,trainer/Policy Action Max,trainer/Policy Action Mean,trainer/Policy Action Min,trainer/Policy Action Std,trainer/Policy Loss,trainer/Preactivation Policy Loss,trainer/Q Predictions Max,trainer/Q Predictions Mean,trainer/Q Predictions Min,trainer/Q Predictions Std,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/QF Loss,trainer/Raw Policy Loss
0,0.0006879747,0.00012857131,-0.00056868175,0.0003657683,135.9131987754542,7,159.35061118900524,135.9131987754542,118.08084411796142,13.755013868929177,1.028340800841752,0.9808168983795664,0.7736306875394783,0.03416183004115604,7,970,163,138.57142857142858,127,13.091514622152808,1.0,0.013185529791685696,-1.0,0.49368940392331984,12.739220723623744,58,57.915109794618495,12.739220723623744,1.44981155891475,11.392047180764415,2.0367842827766722,0.7388748019701771,-1.4965802133990354,0.5225337572458476,574,11000,52,17.24137931034483,8,8.736191754612822,11000,0.0035398800027905963,6.912568667990854,0.24944020099792397,0.26611476900143316,0.004098179000720847,0.0013368999934755266,9.868403779015352,6.38803873899451,5.7921724,1.1172771,8.749261e-05,1.1704392,0.007322593,0.00032917564,-0.005425166,0.0017915157,-0.0014678244,0.0,0.0047513265,0.0014752838,0.00040273962,0.00086793164,2.40729,0.88298,-0.5048481,0.5831903,1.1172771,-0.0014678244
1,1.0,0.99959517,0.99639964,0.00073061994,38.69230389158576,45,40.72100754931746,38.69230389158576,36.901084635321226,0.9688495581674066,2.4129456753346963,1.7569663724736213,1.010376012070844,0.46436453990935445,52,1961,23,22.022222222222222,21,0.5769224438109852,1.0,0.7884330342992619,-0.9291046904875695,0.30595038126483787,41.19144195652408,42,57.18310016841032,41.19144195652408,26.53419129125258,4.4882630093172375,2.723078438981081,1.730040562174011,1.0057051922656814,0.4738629243728932,616,12000,33,23.80952380952381,17,2.7013056387967302,12000,0.0034914140051114373,7.147587874009332,0.27414512500399724,0.2681386600015685,0.0042567639975459315,0.0013149660007911734,17.01745426900743,6.596240945000318,284.30414,2.8341427,1.3181533e-05,25.026262,1.0,0.9997964,0.9969182,0.00051188254,-12.994086,0.0,26.160658,11.002423,-2.8720844,6.055898,26.031893,11.196077,-3.718595,6.135981,2.8341424,-12.994086
2,1.0,0.49833694,-0.981831,0.7347268,76.70956993908777,22,79.33057757729694,76.70956993908777,73.77825776943796,2.0395973257393387,2.1944748348125778,1.7416001430959043,0.9241874839833107,0.3271893768530017,74,2930,45,44.04545454545455,43,0.8244707794189571,1.0,0.43964910299379356,-1.0,0.6054694331157745,65.28424026225808,26,120.9905353149694,65.28424026225808,13.42788863508546,26.016977034761084,2.5036527253843013,1.6973902468187099,0.8444321126093716,0.38194202960323453,642,13000,67,38.46153846153846,11,13.573817470043538,13000,0.00344644500000868,7.061797602000297,0.24532055699819466,0.2661674030023278,0.004628012000466697,0.001697006002359558,24.080925472000672,6.54053817899694,42.261456,2.0831792,6.356422e-07,5.0373054,1.0,0.3651394,-0.9999377,0.8608755,-34.90404,0.0,59.735577,31.334692,-0.5239165,12.234676,61.632034,31.064842,-0.36695802,12.373351,2.083179,-34.90404
3,1.0,0.45487216,-0.9973601,0.58042175,184.014064236231,11,187.96384527012592,184.014064236231,177.7825100752664,2.9499252079976217,3.408422114850649,2.1262129270993078,0.8039974978561936,0.628847614274463,85,3882,87,86.54545454545455,86,0.49792959773196915,1.0,0.37710038548150887,-1.0,0.5717684600798602,174.82176785654246,12,189.16805251611103,174.82176785654246,133.6714362681013,15.014218950491292,3.3670336121085485,2.0978612142785096,0.7640789549673139,0.6109740831887247,654,14000,88,83.33333333333333,70,4.714045207910317,14000,0.003369433994521387,7.013615580988699,0.29058548899774905,0.2596126739954343,0.003844332000880968,0.0012482559977797791,31.096451231991523,6.454955396002333,140.35114,6.681993,6.224087e-06,20.187752,1.0,0.36418614,-0.9999921,0.8485887,-47.983566,0.0,89.50595,45.271347,-1.0351601,21.296476,88.16592,45.584225,-2.0062728,21.011818,6.6819925,-47.983566
4,1.0,0.39273426,-0.9991326,0.8629481,180.76963423569515,11,182.6639685603672,180.76963423569515,178.64781142995793,1.1179488532807083,3.0659786666863456,2.0269785694114644,0.9126511261119961,0.4724376005469477,96,4863,90,89.18181818181819,88,0.9359663764533638,1.0,0.3825058456032143,-1.0,0.6297434212647915,155.57247143858058,13,208.72776491478027,155.57247143858058,88.99029864359846,42.85365440959468,3.404754788633452,2.022442128701548,0.8931272352983898,0.5431856716200527,667,15000,94,76.92307692307692,51,16.447873551881965,15000,0.0034892149997176602,7.010127526009455,0.24156944300193572,0.2630209390044911,0.004413422000652645,0.001372024999000132,38.108222850001766,6.496262482003658,222.15694,11.444218,3.9521605e-05,30.982628,1.0,0.51181126,-0.9999981,0.8049866,-75.935074,0.0,148.54262,71.068085,-7.1484523,32.687805,150.04904,70.216385,-2.8436856,31.751003,11.444216,-75.935074
5,1.0,0.47197577,-0.99940073,0.6563812,167.9113118318933,11,177.43733483639946,167.9113118318933,159.74839083658537,5.727903045409391,2.7981583599251287,1.9817858692605432,0.6174052232694768,0.45376937376699594,107,5795,89,84.72727272727273,81,2.525898907172692,1.0,0.36624584944665883,-1.0,0.6027093691297754,127.78222864416394,16,216.0694773901721,127.78222864416394,7.611510990356023,76.96322084477343,3.437970100663377,2.044515658306623,0.5366919683536411,0.6582509276693478,683,16000,94,62.5,9,33.37102036198474,16000,0.0033507249972899444,6.753161572989484,0.25017791199934436,0.257752890996926,0.0037531330017372966,0.0012795469956472516,44.862888685987855,6.236847364998539,10828.637,176.60559,9.882549e-05,1144.7098,1.0,0.32795447,-0.99999976,0.8985868,-109.73739,0.0,198.76056,103.19252,-3.4503746,47.01191,193.78503,98.75064,-3.6751127,47.824444,176.60559,-109.73739
6,1.0,0.35925514,-0.99992156,0.6926106,206.4392998559428,10,211.81275282901046,206.4392998559428,202.3190423967957,3.0268699760535775,3.32886292621089,2.2390379593920047,0.644704067921631,0.7257696133786299,117,6717,94,92.2,91,0.9797958971132711,1.0,0.26782851966033955,-1.0,0.6373518116245359,180.32404485156732,12,241.56659149413616,180.32404485156732,33.72813427238396,59.33211716557737,3.584898580231049,2.163888538218808,0.5965523773404392,0.6974267796273845,695,17000,109,83.33333333333333,22,23.449709782615415,17000,0.0034266600050614215,6.688477035022515,0.25891316900379024,0.2646479060058482,0.003932939005608205,0.0016830660024425015,51.55295696800749,6.155873294999765,13222.181,141.63972,0.009731442,1164.8195,1.0,0.2173887,-1.0,0.9143973,-145.57468,0.0,232.91124,137.33405,-6.0776544,55.56009,227.49924,139.41093,-6.647028,56.611435,141.63971,-145.57468
7,1.0,0.43807518,-0.9999999,0.7178746,167.98336178956168,11,169.0585001691506,167.98336178956168,166.82683004968928,0.7201252015733751,2.8385698411109037,1.976274844583078,0.6558133993779581,0.5002910604035788,128,7652,85,85.0,85,0.0,1.0,0.32249074612208856,-1.0,0.6523986663005733,177.92662023002742,12,259.0040239555802,177.92662023002742,70.05856257515538,53.36399413706988,3.6903460417484957,2.1351194427603293,0.6173783541477805,0.7428757422062447,707,18000,127,83.33333333333333,39,21.576736443576344,18000,0.003410237994103227,6.938312992991996,0.23925813999812817,0.2555541830006405,0.003959779001888819,0.0020174320015939884,58.49292472200614,6.434113220995641,2255.2195,67.40179,0.0014470539,214.3891,1.0,0.27441004,-1.0,0.9129274,-171.72145,0.0,278.4238,158.41177,-3.4438004,73.21462,274.46118,161.8497,-4.0969524,73.36441,67.40179,-171.72145
8,1.0,0.47378576,-0.999967,0.67438364,191.9197142158068,11,194.5452449748059,191.9197142158068,188.0590597338663,2.4285715215571044,3.4948443163373164,2.192229342028946,0.6520349789565744,0.7482055387805163,139,8615,88,87.54545454545455,87,0.49792959773196915,1.0,0.36482361058437385,-1.0,0.6127547229226119,180.6682376886113,12,207.9998246016357,180.6682376886113,77.88628121763159,32.92152343699758,3.8534921896268086,2.1680188522633355,0.6308373468236534,0.7168688117909016,719,19000,90,83.33333333333333,46,11.756794725698931,19000,0.0047614089999115095,6.862637623999035,0.29373287499765866,0.28742504399997415,0.0038742030010325834,0.001262560996110551,65.35723198601045,6.2715815320043475,1007.6372,74.68147,1.6575541e-08,161.0296,1.0,0.3041205,-1.0,0.90102535,-212.67647,0.0,386.9724,198.14532,-5.235529,81.03381,394.39716,200.7341,-7.112597,83.42669,74.68147,-212.67647
9,1.0,0.3483501,-0.9999243,0.6539881,202.79821137138316,10,206.17123017090591,202.79821137138316,198.45375239419505,2.218603691415459,3.843024068592457,2.197163720166665,0.6729173957707042,0.6656996603508238,149,9538,93,92.3,90,0.9,1.0,0.2848738556993988,-1.0,0.6412377396414323,183.03586655195227,12,232.3251995308199,183.03586655195227,33.52458280515973,50.292910414830466,4.039314485536325,2.196430398623427,0.6465156012305079,0.7370085595443757,731,20000,97,83.33333333333333,26,18.422510385093798,20000,0.0033747260022209957,7.228004206997866,0.25315263499942375,0.26012563800031785,0.004362293999292888,0.0016999369981931522,72.58708915302122,6.705288976998418,3230.3953,92.53801,1.6722828e-05,335.6725,1.0,0.34588256,-1.0,0.8803221,-243.26541,0.0,333.61038,225.13586,-7.548685,95.02838,335.63293,226.41411,-8.00854,97.52316,92.53802,-243.26541
